gem_name,gem_type,vaal_gem,type_origin,type_target
Absolution,skill,no,Superior,Anomalous
Absolution,skill,no,Superior,Divergent
Absolution,skill,no,Anomalous,Superior
Absolution,skill,no,Anomalous,Divergent
Absolution,skill,no,Divergent,Superior
Absolution,skill,no,Divergent,Anomalous
Added Chaos Damage Support,support,no,Superior,Anomalous
Added Chaos Damage Support,support,no,Superior,Divergent
Added Chaos Damage Support,support,no,Anomalous,Superior
Added Chaos Damage Support,support,no,Anomalous,Divergent
Added Chaos Damage Support,support,no,Divergent,Superior
Added Chaos Damage Support,support,no,Divergent,Anomalous
Added Cold Damage Support,support,no,Superior,Anomalous
Added Cold Damage Support,support,no,Superior,Divergent
Added Cold Damage Support,support,no,Anomalous,Superior
Added Cold Damage Support,support,no,Anomalous,Divergent
Added Cold Damage Support,support,no,Divergent,Superior
Added Cold Damage Support,support,no,Divergent,Anomalous
Added Fire Damage Support,support,no,Superior,Anomalous
Added Fire Damage Support,support,no,Superior,Divergent
Added Fire Damage Support,support,no,Anomalous,Superior
Added Fire Damage Support,support,no,Anomalous,Divergent
Added Fire Damage Support,support,no,Divergent,Superior
Added Fire Damage Support,support,no,Divergent,Anomalous
Added Lightning Damage Support,support,no,Superior,Anomalous
Added Lightning Damage Support,support,no,Superior,Divergent
Added Lightning Damage Support,support,no,Anomalous,Superior
Added Lightning Damage Support,support,no,Anomalous,Divergent
Added Lightning Damage Support,support,no,Divergent,Superior
Added Lightning Damage Support,support,no,Divergent,Anomalous
Additional Accuracy Support,support,no,Superior,Anomalous
Additional Accuracy Support,support,no,Superior,Divergent
Additional Accuracy Support,support,no,Anomalous,Superior
Additional Accuracy Support,support,no,Anomalous,Divergent
Additional Accuracy Support,support,no,Divergent,Superior
Additional Accuracy Support,support,no,Divergent,Anomalous
Advanced Traps Support,support,no,Superior,Anomalous
Advanced Traps Support,support,no,Superior,Divergent
Advanced Traps Support,support,no,Anomalous,Superior
Advanced Traps Support,support,no,Anomalous,Divergent
Advanced Traps Support,support,no,Divergent,Superior
Advanced Traps Support,support,no,Divergent,Anomalous
Alchemist's Mark,skill,no,Superior,Anomalous
Alchemist's Mark,skill,no,Superior,Divergent
Alchemist's Mark,skill,no,Anomalous,Superior
Alchemist's Mark,skill,no,Anomalous,Divergent
Alchemist's Mark,skill,no,Divergent,Superior
Alchemist's Mark,skill,no,Divergent,Anomalous
